Strike,Expiry,Type,Vol,Open_Int,Underlying_Price
95,2/5/2016,call,4185,6435,96.69
95,2/5/2016,put,5373,9057,96.69
95,2/12/2016,call,370,1972,96.69
95,2/12/2016,put,926,6948,96.69
95,2/19/2016,call,2060,13606,96.69
95,2/19/2016,put,1841,36644,96.69
95,2/26/2016,call,24,1000,96.69
95,2/26/2016,put,24,1580,96.69
95,3/4/2016,call,49,256,96.69
95,3/4/2016,put,27,409,96.69
95,3/11/2016,call,12,87,96.69
95,3/11/2016,put,5,114,96.69
95,3/18/2016,call,404,10914,96.69
95,3/18/2016,put,360,16047,96.69
95,4/15/2016,call,665,8145,96.69
95,4/15/2016,put,59,15024,96.69
95,5/20/2016,call,112,1869,96.69
95,5/20/2016,put,14,1629,96.69
95,6/17/2016,call,62,2992,96.69
95,6/17/2016,put,44,12439,96.69
95,7/15/2016,call,23,2625,96.69
95,7/15/2016,put,34,4081,96.69
95,10/21/2016,call,20,3738,96.69
95,10/21/2016,put,65,7071,96.69
95,1/20/2017,call,59,18197,96.69
95,1/20/2017,put,6,22949,96.69
95,6/16/2017,call,56,85,96.69
95,6/16/2017,put,12,276,96.69
95,1/19/2018,call,13,21041,96.69
95,1/19/2018,put,1,12381,96.69
95.5,2/5/2016,call,2817,5913,96.69
95.5,2/5/2016,put,1548,3804,96.69
95.5,2/12/2016,call,111,992,96.69
95.5,2/12/2016,put,49,491,96.69
95.5,2/19/2016,call,403,2730,96.69
95.5,2/19/2016,put,184,2224,96.69
95.5,2/26/2016,call,22,347,96.69
95.5,2/26/2016,put,10,283,96.69
95.5,3/4/2016,call,17,252,96.69
95.5,3/4/2016,put,2,488,96.69
95.5,3/11/2016,call,19,48,96.69
95.5,3/11/2016,put,52,94,96.69
96,2/5/2016,call,6429,10920,96.69
96,2/5/2016,put,4746,5705,96.69
96,2/12/2016,call,1005,1381,96.69
96,2/12/2016,put,316,1239,96.69
96,2/19/2016,call,681,4754,96.69
96,2/19/2016,put,255,3240,96.69
96,2/26/2016,call,10,397,96.69
96,2/26/2016,put,111,345,96.69
96,3/4/2016,call,42,261,96.69
96,3/4/2016,put,5,96,96.69
96,3/11/2016,call,24,142,96.69
96,3/11/2016,put,3,106,96.69
96.5,2/5/2016,call,3135,4433,96.69
96.5,2/5/2016,put,983,1728,96.69
96.5,2/12/2016,call,357,3574,96.69
96.5,2/12/2016,put,305,576,96.69
96.5,2/19/2016,call,537,2783,96.69
96.5,2/19/2016,put,131,1547,96.69
96.5,2/26/2016,call,34,210,96.69
96.5,2/26/2016,put,7,160,96.69
96.5,3/4/2016,call,23,299,96.69
96.5,3/4/2016,put,3,54,96.69
96.5,3/11/2016,call,1,449,96.69
96.5,3/11/2016,put,4,16,96.69
97,2/5/2016,call,7045,12709,96.69
97,2/5/2016,put,904,5192,96.69
97,2/12/2016,call,442,2056,96.69
97,2/12/2016,put,197,1085,96.69
97,2/19/2016,call,525,5018,96.69
97,2/19/2016,put,228,1674,96.69
97,2/26/2016,call,34,573,96.69
97,2/26/2016,put,5,287,96.69
97,3/4/2016,call,28,322,96.69
97,3/4/2016,put,5,63,96.69
97,3/11/2016,call,1,61,96.69
97,3/11/2016,put,25,53,96.69
97.5,2/5/2016,call,1966,12134,96.69
97.5,2/5/2016,put,346,502,96.69
97.5,2/12/2016,call,334,2484,96.69
97.5,2/12/2016,put,29,413,96.69
